Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season
F1,28/08/10,00:00,Nancy,Toulouse,0.0,2.0,A,0.0,0.0,D,16.0,13.0,5.0,6.0,5.0,3.0,22.0,17.0,4.0,2.0,0.0,0.0,
F1,28/08/10,00:00,St Etienne,Lens,3.0,1.0,H,1.0,0.0,H,14.0,13.0,6.0,6.0,3.0,6.0,19.0,18.0,1.0,1.0,1.0,0.0,
F1,28/08/10,00:00,Valenciennes,Montpellier,0.0,1.0,A,0.0,1.0,A,9.0,15.0,2.0,5.0,5.0,1.0,19.0,16.0,3.0,1.0,0.0,0.0,
F1,29/08/10,00:00,Bordeaux,Marseille,1.0,1.0,D,0.0,1.0,A,14.0,8.0,4.0,5.0,9.0,4.0,14.0,20.0,1.0,2.0,0.0,1.0,
F1,29/08/10,00:00,Lille,Nice,1.0,1.0,D,0.0,1.0,A,17.0,7.0,5.0,3.0,18.0,3.0,13.0,25.0,0.0,5.0,0.0,0.0,
F1,29/08/10,00:00,Monaco,Auxerre,2.0,0.0,H,0.0,0.0,D,20.0,11.0,5.0,1.0,10.0,5.0,16.0,11.0,0.0,0.0,0.0,0.0,
F1,29/08/10,00:00,Sochaux,Paris SG,3.0,1.0,H,3.0,0.0,H,15.0,19.0,7.0,8.0,7.0,10.0,14.0,15.0,2.0,1.0,0.0,1.0,
F1,11/09/10,00:00,Auxerre,Caen,1.0,1.0,D,1.0,0.0,H,11.0,12.0,5.0,2.0,1.0,5.0,18.0,16.0,0.0,3.0,0.0,0.0,
F1,11/09/10,00:00,Lens,Lille,1.0,4.0,A,0.0,1.0,A,8.0,19.0,5.0,6.0,2.0,9.0,16.0,19.0,0.0,3.0,2.0,0.0,
F1,11/09/10,00:00,Lyon,Valenciennes,1.0,1.0,D,1.0,0.0,H,17.0,11.0,2.0,5.0,9.0,4.0,9.0,19.0,0.0,0.0,0.0,0.0,
F1,11/09/10,00:00,Montpellier,Nancy,1.0,2.0,A,0.0,2.0,A,17.0,15.0,4.0,5.0,9.0,2.0,12.0,11.0,2.0,2.0,0.0,1.0,
F1,11/09/10,00:00,Paris SG,Arles,4.0,0.0,H,2.0,0.0,H,22.0,11.0,7.0,5.0,10.0,5.0,8.0,16.0,0.0,0.0,0.0,0.0,
F1,11/09/10,00:00,Rennes,Sochaux,2.0,1.0,H,1.0,1.0,D,17.0,15.0,5.0,9.0,9.0,3.0,17.0,17.0,3.0,1.0,0.0,0.0,
F1,11/09/10,00:00,Toulouse,St Etienne,0.0,1.0,A,0.0,1.0,A,11.0,9.0,0.0,3.0,3.0,3.0,16.0,13.0,2.0,2.0,0.0,0.0,
F1,12/09/10,00:00,Brest,Lorient,0.0,0.0,D,0.0,0.0,D,17.0,9.0,2.0,1.0,5.0,5.0,23.0,18.0,0.0,1.0,0.0,0.0,
F1,12/09/10,00:00,Marseille,Monaco,2.0,2.0,D,1.0,1.0,D,26.0,8.0,10.0,4.0,3.0,2.0,14.0,23.0,1.0,3.0,0.0,0.0,
F1,12/09/10,00:00,Nice,Bordeaux,2.0,1.0,H,1.0,0.0,H,12.0,13.0,6.0,4.0,6.0,1.0,18.0,21.0,4.0,2.0,0.0,0.0,
F1,18/09/10,00:00,Arles,Marseille,0.0,3.0,A,0.0,2.0,A,16.0,15.0,6.0,8.0,9.0,3.0,14.0,12.0,2.0,1.0,0.0,0.0,
F1,18/09/10,00:00,Lorient,Caen,0.0,1.0,A,0.0,1.0,A,18.0,13.0,4.0,4.0,4.0,1.0,12.0,17.0,1.0,2.0,0.0,0.0,
F1,18/09/10,00:00,Monaco,Toulouse,0.0,0.0,D,0.0,0.0,D,9.0,10.0,2.0,5.0,2.0,5.0,13.0,14.0,4.0,2.0,0.0,0.0,
F1,18/09/10,00:00,Nancy,Brest,0.0,2.0,A,0.0,0.0,D,16.0,9.0,3.0,5.0,6.0,1.0,14.0,11.0,0.0,1.0,0.0,0.0,
F1,18/09/10,00:00,Sochaux,Nice,4.0,0.0,H,1.0,0.0,H,24.0,11.0,12.0,7.0,9.0,4.0,17.0,14.0,2.0,2.0,0.0,0.0,
F1,18/09/10,00:00,St Etienne,Montpellier,3.0,0.0,H,2.0,0.0,H,10.0,13.0,4.0,1.0,3.0,2.0,17.0,21.0,0.0,1.0,0.0,0.0,
F1,18/09/10,00:00,Valenciennes,Lens,1.0,1.0,D,0.0,0.0,D,10.0,12.0,2.0,3.0,1.0,7.0,18.0,10.0,2.0,3.0,0.0,0.0,
F1,19/09/10,00:00,Bordeaux,Lyon,2.0,0.0,H,0.0,0.0,D,19.0,10.0,5.0,1.0,7.0,4.0,15.0,23.0,3.0,3.0,0.0,0.0,
F1,19/09/10,00:00,Lille,Auxerre,1.0,0.0,H,0.0,0.0,D,11.0,8.0,1.0,2.0,6.0,3.0,13.0,15.0,2.0,2.0,0.0,0.0,
F1,19/09/10,00:00,Paris SG,Rennes,0.0,0.0,D,0.0,0.0,D,11.0,10.0,2.0,2.0,5.0,0.0,19.0,15.0,0.0,1.0,0.0,0.0,
F1,25/09/10,00:00,Auxerre,Nancy,2.0,2.0,D,2.0,2.0,D,17.0,7.0,5.0,3.0,3.0,1.0,9.0,18.0,3.0,2.0,0.0,0.0,
F1,25/09/10,00:00,Caen,Bordeaux,0.0,0.0,D,0.0,0.0,D,3.0,14.0,1.0,4.0,3.0,2.0,23.0,13.0,2.0,2.0,0.0,0.0,
F1,25/09/10,00:00,Lorient,Monaco,2.0,1.0,H,1.0,1.0,D,24.0,2.0,6.0,1.0,8.0,0.0,8.0,20.0,1.0,4.0,0.0,1.0,
