Season,Team,Rank,Points,Strength_Rank_Based,Pythagorean_Exp,Avg_Goals_Scored,Avg_Goals_Conceded,Home_Dependency
2010-2011,Lille,1,76,0.9523809523809523,0.7810810810810811,1.7894736842105263,0.9473684210526315,0.5789473684210527
2010-2011,Marseille,2,68,0.9047619047619048,0.7164958061509785,1.631578947368421,1.0263157894736843,0.5441176470588235
2010-2011,Lyon,3,64,0.8571428571428572,0.6993046419845894,1.605263157894737,1.0526315789473684,0.625
2010-2011,Paris SG,4,60,0.8095238095238095,0.651027610545983,1.4736842105263157,1.0789473684210527,0.5833333333333334
2010-2011,Sochaux,5,58,0.7619047619047619,0.6606716828775923,1.5789473684210527,1.131578947368421,0.6896551724137931
2010-2011,Rennes,6,56,0.7142857142857143,0.5410266017234919,1.0,0.9210526315789473,0.5892857142857143
2010-2011,Bordeaux,7,51,0.6666666666666667,0.5117630777747024,1.131578947368421,1.105263157894737,0.5882352941176471
2010-2011,Toulouse,8,50,0.6190476190476191,0.527007299270073,1.0,0.9473684210526315,0.56
2010-2011,Auxerre,9,49,0.5714285714285714,0.5464112250404749,1.1842105263157894,1.0789473684210527,0.5714285714285714
2010-2011,Lorient,10,49,0.5238095238095238,0.47873303167420816,1.2105263157894737,1.263157894736842,0.6530612244897959
2010-2011,St Etienne,11,49,0.47619047619047616,0.4892485549132948,1.2105263157894737,1.236842105263158,0.5714285714285714
2010-2011,Nancy,12,48,0.4285714285714286,0.4452203226583193,1.131578947368421,1.263157894736842,0.5625
2010-2011,Valenciennes,13,48,0.38095238095238093,0.5464112250404749,1.1842105263157894,1.0789473684210527,0.6875
2010-2011,Montpellier,14,47,0.33333333333333337,0.35642185868430215,0.8421052631578947,1.131578947368421,0.5531914893617021
2010-2011,Brest,15,46,0.2857142857142857,0.4120826709062003,0.9473684210526315,1.131578947368421,0.5869565217391305
2010-2011,Caen,16,46,0.23809523809523814,0.44859020563917745,1.2105263157894737,1.3421052631578947,0.5434782608695652
2010-2011,Nice,17,46,0.19047619047619047,0.3209549071618037,0.868421052631579,1.263157894736842,0.6956521739130435
2010-2011,Monaco,18,44,0.1428571428571429,0.44751381215469616,0.9473684210526315,1.0526315789473684,0.5454545454545454
2010-2011,Lens,19,35,0.09523809523809523,0.2669426890390063,0.9210526315789473,1.5263157894736843,0.5714285714285714
2010-2011,Arles,20,20,0.04761904761904767,0.08256880733944955,0.5526315789473685,1.8421052631578947,0.6
2011-2012,Montpellier,1,82,0.9523809523809523,0.8,1.7894736842105263,0.8947368421052632,0.6097560975609756
2011-2012,Paris SG,2,79,0.9047619047619048,0.7699151382425404,1.9736842105263157,1.0789473684210527,0.569620253164557
2011-2012,Lille,3,74,0.8571428571428572,0.7731543624161074,1.894736842105263,1.0263157894736843,0.5540540540540541
2011-2012,Lyon,4,64,0.8095238095238095,0.6116171420038823,1.6842105263157894,1.3421052631578947,0.65625
2011-2012,Bordeaux,5,61,0.7619047619047619,0.6256124721603563,1.394736842105263,1.0789473684210527,0.5737704918032787
2011-2012,Rennes,6,60,0.7142857142857143,0.5919915700737619,1.394736842105263,1.1578947368421053,0.5333333333333333
2011-2012,St Etienne,7,57,0.6666666666666667,0.5424762765476728,1.2894736842105263,1.1842105263157894,0.543859649122807
2011-2012,Toulouse,8,56,0.6190476190476191,0.5421782178217822,0.9736842105263158,0.8947368421052632,0.625
2011-2012,Evian Thonon Gaillard,9,50,0.5714285714285714,0.4908264601918869,1.4210526315789473,1.4473684210526316,0.58
2011-2012,Marseille,10,48,0.5238095238095238,0.5464112250404749,1.1842105263157894,1.0789473684210527,0.6458333333333334
2011-2012,Nancy,11,45,0.47619047619047616,0.3852721451440768,1.0,1.263157894736842,0.6
2011-2012,Valenciennes,12,43,0.4285714285714286,0.3902439024390244,1.0526315789473684,1.3157894736842106,0.8372093023255814
2011-2012,Nice,13,42,0.38095238095238093,0.41820181468243056,1.0263157894736843,1.2105263157894737,0.6904761904761905
2011-2012,Sochaux,14,42,0.33333333333333337,0.3076923076923077,1.0526315789473684,1.5789473684210527,0.6666666666666666
2011-2012,Ajaccio,15,41,0.2857142857142857,0.30069535801541064,1.0526315789473684,1.605263157894737,0.6341463414634146
2011-2012,Brest,16,41,0.23809523809523814,0.3995841995841996,0.8157894736842105,1.0,0.7073170731707317
2011-2012,Lorient,17,39,0.19047619047619047,0.33783783783783783,0.9210526315789473,1.2894736842105263,0.7692307692307693
2011-2012,Caen,18,38,0.1428571428571429,0.304078368652539,1.0263157894736843,1.5526315789473684,0.6052631578947368
2011-2012,Dijon,19,36,0.09523809523809523,0.26676519490116385,1.0,1.6578947368421053,0.6111111111111112
2011-2012,Auxerre,20,34,0.04761904761904767,0.394408201304753,1.2105263157894737,1.5,0.7058823529411765
2012-2013,Paris SG,1,83,0.9523809523809523,0.9,1.8157894736842106,0.6052631578947368,0.5180722891566265
2012-2013,Marseille,2,71,0.9047619047619048,0.5764705882352941,1.105263157894737,0.9473684210526315,0.5633802816901409
2012-2013,Lyon,3,67,0.8571428571428572,0.7204259438528557,1.605263157894737,1.0,0.5522388059701493
2012-2013,Nice,4,64,0.8095238095238095,0.6055917986952469,1.5,1.2105263157894737,0.59375
2012-2013,St Etienne,5,63,0.7619047619047619,0.7785467128027682,1.5789473684210527,0.8421052631578947,0.5873015873015873
2012-2013,Lille,6,62,0.7142857142857143,0.6851013580003936,1.5526315789473684,1.0526315789473684,0.5483870967741935
2012-2013,Bordeaux,7,55,0.6666666666666667,0.5805515239477503,1.0526315789473684,0.8947368421052632,0.5818181818181818
2012-2013,Lorient,8,53,0.6190476190476191,0.49130500529260546,1.5,1.5263157894736843,0.6792452830188679
2012-2013,Montpellier,9,52,0.5714285714285714,0.5285481239804242,1.4210526315789473,1.3421052631578947,0.7307692307692307
2012-2013,Toulouse,10,51,0.5238095238095238,0.520824295010846,1.2894736842105263,1.236842105263158,0.5490196078431373
2012-2013,Valenciennes,11,48,0.47619047619047616,0.46084452975047985,1.2894736842105263,1.394736842105263,0.6875
2012-2013,Bastia,12,47,0.4285714285714286,0.3646441073512252,1.3157894736842106,1.736842105263158,0.6382978723404256
2012-2013,Rennes,13,46,0.38095238095238093,0.3982713915298185,1.263157894736842,1.5526315789473684,0.5
2012-2013,Reims,14,43,0.33333333333333337,0.38170347003154576,0.868421052631579,1.105263157894737,0.7209302325581395
2012-2013,Ajaccio,15,42,0.2857142857142857,0.36899563318777295,1.0263157894736843,1.3421052631578947,0.6190476190476191
2012-2013,Sochaux,16,41,0.23809523809523814,0.340973630831643,1.0789473684210527,1.5,0.5609756097560976
2012-2013,Evian Thonon Gaillard,17,40,0.19047619047619047,0.4296446700507614,1.2105263157894737,1.394736842105263,0.625
2012-2013,Nancy,18,38,0.1428571428571429,0.3003327787021631,1.0,1.5263157894736843,0.5263157894736842
2012-2013,Troyes,19,37,0.09523809523809523,0.3319569120287253,1.131578947368421,1.605263157894737,0.7027027027027027
2012-2013,Brest,20,29,0.04761904761904767,0.21035332785538208,0.8421052631578947,1.631578947368421,0.6206896551724138
2013-2014,Paris SG,1,89,0.9523809523809523,0.9302570863546473,2.210526315789474,0.6052631578947368,0.5393258426966292
2013-2014,Monaco,2,80,0.9047619047619048,0.8050709939148073,1.6578947368421053,0.8157894736842105,0.525
2013-2014,Lille,3,71,0.8571428571428572,0.7578796561604585,1.2105263157894737,0.6842105263157895,0.5915492957746479
2013-2014,St Etienne,4,69,0.8095238095238095,0.7306616961789375,1.4736842105263157,0.8947368421052632,0.5942028985507246
2013-2014,Lyon,5,61,0.7619047619047619,0.6182965299684543,1.4736842105263157,1.1578947368421053,0.5081967213114754
2013-2014,Marseille,6,60,0.7142857142857143,0.6371059197096848,1.394736842105263,1.0526315789473684,0.55
2013-2014,Bordeaux,7,53,0.6666666666666667,0.5649411764705883,1.2894736842105263,1.131578947368421,0.6415094339622641
2013-2014,Lorient,8,49,0.6190476190476191,0.4506160766673186,1.263157894736842,1.394736842105263,0.6326530612244898
2013-2014,Nantes,9,49,0.5714285714285714,0.4639025804581038,1.0526315789473684,1.131578947368421,0.5714285714285714
2013-2014,Toulouse,10,49,0.5238095238095238,0.4296446700507614,1.2105263157894737,1.394736842105263,0.4897959183673469
2013-2014,Reims,11,48,0.47619047619047616,0.41724137931034483,1.1578947368421053,1.368421052631579,0.5625
2013-2014,Bastia,12,46,0.4285714285714286,0.34399375975039004,1.105263157894737,1.5263157894736843,0.7608695652173914
2013-2014,Rennes,13,46,0.38095238095238093,0.5217288615965989,1.236842105263158,1.1842105263157894,0.5
2013-2014,Evian Thonon Gaillard,14,44,0.33333333333333337,0.36899563318777295,1.0263157894736843,1.3421052631578947,0.6136363636363636
2013-2014,Guingamp,15,42,0.2857142857142857,0.3958904109589041,0.8947368421052632,1.105263157894737,0.6666666666666666
2013-2014,Montpellier,16,42,0.23809523809523814,0.41890773686388083,1.1842105263157894,1.394736842105263,0.5714285714285714
2013-2014,Nice,17,42,0.19047619047619047,0.31734837799717913,0.7894736842105263,1.1578947368421053,0.7619047619047619
2013-2014,Sochaux,18,40,0.1428571428571429,0.268958742632613,0.9736842105263158,1.605263157894737,0.75
2013-2014,Valenciennes,19,29,0.09523809523809523,0.24472649267071864,0.9736842105263158,1.7105263157894737,0.5862068965517241
2013-2014,Ajaccio,20,23,0.04761904761904767,0.20891194872577445,0.9736842105263158,1.894736842105263,0.6521739130434783
2014-2015,Paris SG,1,83,0.9523809523809523,0.8416615760537569,2.1842105263157894,0.9473684210526315,0.5903614457831325
2014-2015,Lyon,2,75,0.9047619047619048,0.8263988522238164,1.894736842105263,0.868421052631579,0.6
2014-2015,Monaco,3,71,0.8571428571428572,0.7937137625877326,1.3421052631578947,0.6842105263157895,0.4647887323943662
2014-2015,Marseille,4,69,0.8095238095238095,0.7660477453580902,2.0,1.105263157894737,0.5942028985507246
2014-2015,St Etienne,5,69,0.7619047619047619,0.7429305912596401,1.3421052631578947,0.7894736842105263,0.5942028985507246
2014-2015,Bordeaux,6,63,0.7142857142857143,0.5329312424607962,1.236842105263158,1.1578947368421053,0.6507936507936508
2014-2015,Lille,7,56,0.6666666666666667,0.5117630777747024,1.131578947368421,1.105263157894737,0.6785714285714286
2014-2015,Montpellier,8,56,0.6190476190476191,0.5817981853175694,1.2105263157894737,1.0263157894736843,0.625
2014-2015,Rennes,9,50,0.5714285714285714,0.4098360655737705,0.9210526315789473,1.105263157894737,0.58
2014-2015,Guingamp,10,49,0.5238095238095238,0.35720356991075225,1.0789473684210527,1.4473684210526316,0.5714285714285714
2014-2015,Nice,11,48,0.47619047619047616,0.40800842992623815,1.1578947368421053,1.394736842105263,0.5
